,الجنسية,الجنس,المنطقة,حكومي/خاص,المدرسة,النسبة
251,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,70.32
252,غير محدد الجنسية,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,75.03
253,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,83.53
254,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,70.49
255,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,91.46
256,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,71.71
257,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,85.36
258,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,84.04
259,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,67.17
260,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,86.68
261,غير محدد الجنسية,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,74.54
262,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,93.78
263,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,93.33
264,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,84.33
265,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,74.73
266,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,69.5
267,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,76.58
268,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,78.03
269,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,68.97
270,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,66.32
271,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,85.55
272,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,73.42
273,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,67.8
274,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,75.78
275,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,79.82
276,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,84.0
277,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,81.0
278,كويتي,بنات,مبارك الكبير,حكــومى,فارعه بنت ابي الصلت الثانوية للبنات,73.64
